longitude,latitude,median_house_value
-122.23,37.88,452600.0
-122.22,37.86,358500.0
-122.24,37.85,352100.0
-122.25,37.85,341300.0
-122.25,37.85,342200.0
-122.25,37.85,269700.0
-122.25,37.84,299200.0
-122.25,37.84,241400.0
-122.26,37.84,226700.0
-122.25,37.84,261100.0
-122.26,37.85,281500.0
-122.26,37.85,241800.0
-122.26,37.85,213500.0
-122.26,37.84,191300.0
-122.26,37.85,159200.0
-122.26,37.85,140000.0
-122.27,37.85,152500.0
-122.27,37.85,155500.0
-122.26,37.84,158700.0
-122.27,37.84,162900.0
-122.27,37.85,147500.0
-122.27,37.85,159800.0
-122.27,37.84,113900.0
-122.27,37.84,99700.0
-122.27,37.84,132600.0
-122.28,37.85,107500.0
-122.28,37.85,93800.0
-122.28,37.85,105500.0
-122.28,37.84,108900.0
-122.28,37.84,132000.0
-122.28,37.84,122300.0
-122.28,37.84,115200.0
-122.27,37.84,110400.0
-122.27,37.83,104900.0
-122.27,37.83,109700.0
-122.27,37.83,97200.0
-122.27,37.83,104500.0
-122.28,37.83,103900.0
-122.26,37.83,191400.0
-122.26,37.83,176000.0
-122.26,37.83,155400.0
-122.26,37.83,150000.0
-122.26,37.84,118800.0
-122.26,37.84,188800.0
-122.26,37.83,184400.0
-122.26,37.83,182300.0
-122.26,37.83,142500.0
-122.27,37.82,137500.0
-122.26,37.82,187500.0
-122.27,37.82,112500.0
-122.27,37.82,171900.0
-122.27,37.82,93800.0
-122.27,37.82,97500.0
-122.27,37.82,104200.0
-122.28,37.82,87500.0
-122.28,37.82,83100.0
-122.28,37.82,87500.0
-122.28,37.82,85300.0
-122.28,37.82,80300.0
-122.29,37.82,60000.0
-122.29,37.83,75700.0
-122.29,37.82,75000.0
-122.29,37.81,86100.0
-122.3,37.81,76100.0
-122.3,37.81,73500.0
-122.3,37.81,78400.0
-122.3,37.81,84400.0
-122.29,37.8,81300.0
-122.3,37.81,85000.0
-122.29,37.81,129200.0
-122.29,37.81,82500.0
-122.29,37.81,95200.0
-122.29,37.81,75000.0
-122.29,37.81,67500.0
-122.29,37.81,137500.0
-122.28,37.81,177500.0
-122.28,37.81,102100.0
-122.28,37.81,108300.0
-122.29,37.81,112500.0
-122.28,37.8,131300.0
-122.28,37.81,162500.0
-122.27,37.81,112500.0
-122.28,37.81,112500.0
-122.28,37.81,137500.0
-122.28,37.81,118800.0
-122.28,37.81,98200.0
-122.27,37.81,118800.0
-122.27,37.81,162500.0
-122.27,37.8,137500.0
-122.27,37.8,500001.0
-122.27,37.8,162500.0
-122.28,37.8,137500.0
-122.28,37.8,162500.0
-122.27,37.79,187500.0
-122.27,37.8,179200.0
-122.26,37.8,130000.0
-122.26,37.82,183800.0
-122.26,37.81,125000.0
-122.26,37.82,170000.0
-122.26,37.82,193100.0
-122.25,37.81,257800.0
-122.25,37.81,273400.0
-122.25,37.81,237500.0
-122.25,37.81,350000.0
-122.26,37.81,335700.0
-122.24,37.82,313400.0
-122.24,37.81,268500.0
-122.25,37.81,259400.0
-122.24,37.82,275700.0
-122.25,37.82,225000.0
-122.25,37.82,262500.0
-122.25,37.82,218500.0
-122.25,37.82,255000.0
-122.25,37.83,224100.0
-122.25,37.83,243100.0
-122.25,37.83,231600.0
-122.25,37.83,218500.0
-122.25,37.83,234100.0
-122.23,37.84,327600.0
-122.23,37.84,347600.0
-122.24,37.83,366100.0
-122.24,37.85,335000.0
-122.23,37.85,373600.0
-122.24,37.84,389500.0
-122.24,37.85,391100.0
-122.22,37.85,337300.0
-122.22,37.84,295200.0
-122.21,37.84,292300.0
-122.21,37.83,411500.0
-122.2,37.84,311500.0
-122.21,37.84,325900.0
-122.19,37.84,392600.0
-122.2,37.84,319300.0
-122.21,37.83,333300.0
-122.19,37.83,335200.0
-122.2,37.83,351200.0
-122.19,37.83,368900.0
-122.19,37.82,365900.0
-122.2,37.82,366700.0
-122.2,37.82,362800.0
-122.18,37.81,483300.0
-122.21,37.82,331400.0
-122.2,37.81,323500.0
-122.21,37.8,216700.0
-122.21,37.8,233100.0
-122.21,37.81,296400.0
-122.22,37.81,273700.0
-122.22,37.8,227700.0
-122.22,37.8,199600.0
-122.22,37.8,239800.0
-122.22,37.81,270100.0
