Frequency,Monetary,Cluster
1,5,3
1,1,3
1,-2,3
1,2,3
1,12,3
1,24,3
1,24,3
1,6,3
1,2,3
1,1,3
1,1,3
1,12,3
1,1,3
1,1,3
1,48,3
1,12,3
1,6,3
1,12,3
1,1,3
1,1,3
1,1,3
1,6,3
1,12,3
1,1,3
1,1,3
1,1,3
1,12,3
1,24,3
1,-3,3
1,3,3
1,2,3
1,1,3
1,4,3
1,12,3
1,48,3
1,2,3
1,1,3
1,1,3
1,12,3
1,1,3
1,1,3
1,48,3
2,0,3
181,4299.8,1
31,1797.24,3
73,1757.55,3
17,334.4,3
95,1545.41,3
4,89,3
58,1079.4,3
13,459.4,3
59,2811.43,3
126,6101.11,1
19,1168.06,3
252,6228.73,1
128,2657.02,3
10,189.9,3
274,5154.58,1
23,552,3
84,1308.06,3
23,320.69,3
11,168.9,3
163,3412.19,1
63,1887.96,3
52,1298.04,3
14,364.6,3
33,742.93,3
18,455.42,3
76,1623.08,3
218,3957.62,1
41,850.29,3
105,2720.56,3
89,1782.51,3
98,1760.86,3
30,566.16,3
10,401.9,3
100,2780.66,3
32,549.84,3
99,456.21,3
63,1572.4,3
27,1272.48,3
159,2998.28,3
126,2409.9,3
85,1635.66,3
59,1108.65,3
5,84.3,3
11,225.6,3
6,409.7,3
54,1710.39,3
108,3280.75,1
77,1708.12,3
112,2832.37,3
114,11056.9,1
28,681.08,3
60,1217.52,3
40,694.15,3
18,562.41,3
773,121994,4
198,3578.8,1
34,668.58,3
29,600.39,3
46,806.27,3
39,803.56,3
126,1849.11,3
30,1760.96,3
36,777.2,3
30,582.73,3
35,708.37,3
294,7814.65,1
94,3656.8,1
11,256.4,3
239,6411.35,1
108,5059.32,1
416,13161.8,1
54,765.19,3
36,7829.89,1
16,509.01,3
201,4896.66,1
98,2906.85,3
11,173.55,3
12,172.06,3
176,4985.66,1
4,133.4,3
58,1002.31,3
26,476.49,3
22,449.45,3
188,4007.89,1
8,197.88,3
353,8915.04,1
23,428.57,3
43,707.09,3
